SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
1	1	1	46	28279	4586	0.50735036528203636408	1	1	1104.6992819974548183	0	28	NaN	1	1	0	1	2	0
1	1	1	47	17498	1499	0.50739667087327688932	0	1	807.13784199906513095	0	NaN	NaN	0	1	1	0	1	0
1	1	1	48	50803	2872	0.5074429614469408989	0	1	687.15428300492931157	0	NaN	NaN	0	1	2	0	1	0
1	1	1	49	36629	9173	0.50748925493098795414	0	1	702.84425399586325511	0	NaN	NaN	0	1	1	0	1	0
1	1	1	50	22269	2665	0.50753555051051080227	0	1	829.58026300184428692	0	NaN	NaN	0	1	1	0	1	0
1	1	1	51	27746	1045	0.50758184376172721386	0	1	783.0546869954559952	0	NaN	NaN	0	1	1	0	1	0
1	1	1	52	18469	1974	0.50762813538312911987	0	1	843.05764299642760307	0	NaN	NaN	0	1	1	0	1	0
1	1	1	53	34052	2268	0.50767442723736166954	0	1	762.7290849995915778	0	NaN	NaN	0	1	1	0	1	0
1	1	1	54	15556	7771	0.50772072048857808113	0	1	735.15779700392158702	0	NaN	NaN	0	1	1	0	1	0
1	1	1	55	17304	6336	0.50781331793405115604	0	1	745.03664899384602904	0	NaN	NaN	0	1	1	0	1	0
1	1	1	56	53053	727	0.50785950920544564724	0	1	602.24685700086411089	0	NaN	NaN	0	1	1	0	1	0
1	1	1	57	4931	40	0.50790580734610557556	0	1	803.13363899767864496	0	NaN	NaN	0	1	1	0	1	0
1	1	1	58	43899	6000	0.50795209943316876888	0	1	1034.5246140059316531	0	NaN	NaN	0	1	1	0	1	0
1	1	1	59	3372	7046	0.5079983854666352272	0	1	804.70534799678716809	0	NaN	NaN	0	1	1	0	1	0
1	1	1	60	17953	1607	0.50804469001013785601	0	1	1277.7432879956904799	0	NaN	NaN	0	1	1	0	1	0
1	1	1	61	31928	2132	0.50809098256286233664	0	1	777.35319899511523545	0	NaN	NaN	0	1	1	0	1	0
1	1	1	62	50006	5352	0.50813727988861501217	0	1	750.95463800244033337	0	NaN	NaN	0	1	1	0	1	0
1	1	1	63	35619	2514	0.50818357046227902174	0	1	942.54903299588477239	0	NaN	NaN	0	1	1	0	1	0
1	1	2	1	4997	5730	0.51034711487591266632	0	1	878.48194000252988189	0	NaN	NaN	0	1	1	0	1	0
1	1	2	2	3586	4135	0.5103934137150645256	0	1	657.94699400430545211	0	NaN	NaN	0	1	1	0	1	0
1	1	2	3	33484	5169	0.51043959660455584526	0	NaN	NaN	NaN	NaN	NaN	0	NaN	0	0	NaN	0
1	1	2	4	2814	5821	0.51048588845878839493	0	1	667.59937300230376422	0	NaN	NaN	0	1	1	0	1	0
1	1	2	5	17305	8842	0.51053219055756926537	0	1	589.29891100706299767	0	NaN	NaN	0	1	1	0	1	0
1	1	2	6	3586	4135	0.51057848869822919369	1	1	782.41123999760020524	0	3	NaN	1	1	0	1	2	0
1	1	2	7	27902	4990	0.51062477880623191595	0	1	953.6857370039797388	0	NaN	NaN	0	1	1	0	1	0
1	1	2	8	34024	9955	0.51067107392009347677	0	1	625.59658999816747382	0	NaN	NaN	0	1	1	0	1	0
1	1	2	9	17669	7331	0.510717370780184865	0	1	734.49400100071216002	0	NaN	NaN	0	1	1	0	1	0
1	1	2	10	7161	3470	0.51076365855988115072	0	1	1121.447140998498071	0	NaN	NaN	0	1	1	0	1	0
1	1	2	11	27205	9913	0.51080995518714189529	0	1	845.51321899925824255	0	NaN	NaN	0	1	1	0	1	0
1	1	2	12	45700	3207	0.51090254157315939665	0	1	826.91651099594309926	0	NaN	NaN	0	1	1	0	1	0
1	1	2	13	6125	5799	0.51094883191399276257	0	1	845.85247799986973405	0	NaN	NaN	0	1	1	0	1	0
1	1	2	14	45319	4068	0.51099512376822531223	0	1	668.34970199852250516	0	NaN	NaN	0	1	1	0	1	0
1	1	2	15	42195	2204	0.51104142959229648113	0	1	905.05118099827086553	0	NaN	NaN	0	1	1	0	1	0
1	1	2	16	15285	7081	0.51108772098086774349	0	1	992.25676000060047954	0	NaN	NaN	0	1	1	0	1	0
1	1	2	17	13759	3632	0.51113401120528578758	0	1	716.61804999894229695	0	NaN	NaN	0	1	1	0	1	0
1	1	2	18	45722	3444	0.51118030166253447533	0	1	806.55943500460125506	0	NaN	NaN	0	1	1	0	1	0
1	1	2	19	25280	2840	0.51122659537941217422	0	1	972.86201200040522963	0	NaN	NaN	0	1	1	0	1	0
1	1	2	20	52866	1538	0.51127289957366883755	0	1	771.80021799722453579	0	NaN	NaN	0	1	1	0	1	0
1	1	2	21	39790	8951	0.51136547874193638563	0	1	792.05291299876989797	0	NaN	NaN	0	1	1	0	1	0
1	1	2	22	7189	8009	0.51141177257522940636	0	1	812.49862199911149219	0	NaN	NaN	0	1	1	0	1	0
