SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA	people_count	animal_count	shared1000	interaction_type
1	1	1	1	46003	626	0.5050821574404835	0	1.0	803.5297809983604	0.0			0	1.0	1	0	1.0	0	0	14	True	
1	18	1	53	46003	626	133.66793178173248	1	0.0	1749.4053030386567	0.0	12801.0		0	1.0	1	0	1.0	0	0	14	True	
1	35	6	24	46003	626	239.71784250182097	1	0.0	1202.5033840000103	0.0	13033.0	25835.0	0	1.0	1	0	1.0	0	0	14	True	
1	1	1	2	61883	5013	0.5051284545334056	0	1.0	972.2613830017507	0.0			0	1.0	1	0	1.0	0	9	0	False	
1	13	2	26	61883	5013	91.617240939755	1	1.0	2411.506844015093	1.0	9086.0		0	0.0	1	1	2.0	0	9	0	False	
1	18	5	15	61883	5013	133.6854783456074	1	1.0	2062.7875750651583	0.0	3925.0	13012.0	0	0.0	0	1	2.0	0	9	0	False	
1	1	1	3	829	4850	0.5051747420802712	0	1.0	742.3512359964661	0.0			0	1.0	1	0	1.0	0	1	0	False	
1	15	7	59	829	4850	105.71801884728484	1	1.0	2503.324253004393	1.0	10930.0		0	0.0	1	1	2.0	0	1	0	False	
1	16	2	45	829	4850	112.60382955824024	1	1.0	1910.6488719698973	0.0	423.0	11354.0	0	0.0	0	1	2.0	0	1	0	False	
1	1	1	4	67574	8823	0.5052210498834028	0	1.0	747.5184790018828	0.0			0	1.0	1	0	1.0	0	6	0	False	
1	4	7	14	67574	8823	28.694479916128326	1	0.0	1247.136744997988	0.0	2634.0		0	1.0	1	0	1.0	0	6	0	False	
1	5	2	57	67574	8823	35.69342847936787	1	0.0	1161.4088259998423	0.0	480.0	3115.0	0	1.0	1	0	1.0	0	6	0	False	
1	1	1	5	16021	9538	0.5052673283498734	0	1.0	547.4227739978232	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	31	8	31	16021	9538	217.7583232834004	1	1.0	1240.3901839988976	0.0	22963.0		0	0.0	0	1	2.0	0	0	0	False	
1	35	1	27	16021	9538	239.6946436321596	1	1.0	1721.6678439999669	0.0	2557.0	25521.0	0	0.0	0	1	2.0	0	0	0	False	
1	1	1	6	40423	6061	0.5053136319620534	0	1.0	510.5723930028034	0.0			0	1.0	1	0	1.0	0	0	2	False	
1	18	1	16	40423	6061	133.66608020861167	1	0.0	855.3897109813987	0.0	12759.0		0	1.0	1	0	1.0	0	0	2	False	
1	40	9	63	40423	6061	262.61602750699967	1	1.0	539.1104470036224	0.0	17046.0	29806.0	0	0.0	0	1	2.0	0	0	2	False	
1	1	1	7	51518	4421	0.5053598245140165	0	1.0	524.6947839987115	0.0			0	1.0	1	0	1.0	0	0	1	False	
1	40	9	22	51518	4421	262.6139443763532	1	0.0	1012.520719996246	0.0	29764.0		0	1.0	1	0	1.0	0	0	1	False	
1	40	10	21	51518	4421	262.6184812869178	1	1.0	650.5351300002076	0.0	61.0	29826.0	1	1.0	0	1	2.0	0	0	1	False	
1	1	1	8	62326	3858	0.5054061164846643	0	1.0	622.7499560045544	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	6	11	47	62326	3858	42.694819504744366	1	0.0	1454.9164210038723	0.0	4413.0		0	1.0	1	0	1.0	0	0	0	False	
1	17	6	27	62326	3858	126.69415313214994	1	1.0	2860.744778998196	1.0	7917.0	12331.0	0	0.0	1	1	2.0	0	0	0	False	
1	1	1	9	50611	8124	0.5054524124134331	0	1.0	577.3867379975854	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	3	9	51	50611	8124	21.738176564336754	1	0.0	664.4614989927504	0.0	2041.0		0	1.0	1	0	1.0	0	0	0	False	
1	3	12	31	50611	8124	21.751229261164557	1	1.0	651.3974509725813	0.0	167.0	2209.0	1	1.0	0	1	2.0	0	0	0	False	
1	1	1	10	55066	4843	0.5054986980976536	0	1.0	522.7915290015517	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	33	5	14	55066	4843	231.73808578017636	1	1.0	3049.5118079998065	1.0	24253.0		0	0.0	1	1	2.0	0	0	0	False	
1	33	7	5	55066	4843	231.74720356264152	1	1.0	581.8086259969277	0.0	115.0	24369.0	1	1.0	0	1	2.0	0	0	0	False	
1	1	1	11	37399	7941	0.5055449943756684	0	1.0	514.9415350024356	0.0			0	1.0	1	0	1.0	0	0	0	False	
1	7	7	26	37399	7941	49.74778678175062	1	1.0	2503.018871997483	1.0	4889.0		0	0.0	1	1	2.0	0	0	0	False	
1	9	6	22	37399	7941	63.707744994550005	1	1.0	1551.7826600116675	0.0	1433.0	6323.0	0	0.0	0	1	2.0	0	0	0	False	
1	1	1	12	18040	4523	0.505591289140284	0	1.0	559.4149370008381	0.0			0	1.0	1	0	1.0	0	0	1	False	
1	1	9	35	18040	4523	0.5485596694052219	1	1.0	1936.5606669962287	0.0	522.0		1	1.0	0	1	2.0	0	0	1	False	
